Evento_ID,Acción,Responsable,Estado,Acción_requerida,Tiempo_estimado
1,Enviar invitaciones,George Hill,Pendiente,Reservar local,33
2,Reservar local,Linda Barnes,Pendiente,Reservar local,80
3,Enviar invitaciones,Dorothy Barrett,Finalizado,Ejecutar evento,84
4,Enviar invitaciones,Jacqueline Freeman,En proceso,Comprar materiales,38
5,Reservar local,Michael Gilbert,En proceso,Comprar materiales,24
6,Decorar,Patrick Aguirre,En proceso,Decorar,28
7,Comprar materiales,Amber Ramirez,En proceso,Enviar invitaciones,75
8,Reservar local,Todd Blake,Pendiente,Ejecutar evento,80
9,Ejecutar evento,Gregory Coffey,En proceso,Enviar invitaciones,18
10,Reservar local,Marcus Cardenas,Pendiente,Ejecutar evento,59
11,Reservar local,Jonathan Turner,En proceso,Ejecutar evento,21
12,Decorar,Katherine Torres,Finalizado,Decorar,51
13,Decorar,Christina Wong,Finalizado,Ejecutar evento,28
14,Comprar materiales,Richard Thomas,Finalizado,Enviar invitaciones,17
15,Ejecutar evento,Richard Cohen,Finalizado,Comprar materiales,37
16,Enviar invitaciones,Meagan Smith,En proceso,Reservar local,33
17,Ejecutar evento,Joyce Vega,Finalizado,Ejecutar evento,38
18,Reservar local,Jason Scott,En proceso,Comprar materiales,70
19,Enviar invitaciones,Rick Adams,Finalizado,Reservar local,89
20,Comprar materiales,Donna Johnson,En proceso,Decorar,30
21,Decorar,Patrick Richards,Finalizado,Ejecutar evento,23
22,Reservar local,Samantha Davis,En proceso,Ejecutar evento,20
23,Ejecutar evento,Jose Jones Jr.,En proceso,Enviar invitaciones,88
24,Comprar materiales,Tiffany Thompson,En proceso,Ejecutar evento,87
25,Ejecutar evento,Ronald Washington,Finalizado,Comprar materiales,73
26,Ejecutar evento,Andrew Klein,Finalizado,Decorar,42
27,Decorar,Sarah Johnson,En proceso,Ejecutar evento,87
28,Ejecutar evento,Jennifer Brooks,Finalizado,Enviar invitaciones,79
29,Ejecutar evento,Kathleen Williams,En proceso,Ejecutar evento,87
30,Reservar local,Hannah Villanueva,En proceso,Enviar invitaciones,64
31,Comprar materiales,Kristin Parker,Finalizado,Enviar invitaciones,18
32,Enviar invitaciones,Tracy Nelson,Finalizado,Ejecutar evento,19
33,Ejecutar evento,Kimberly Calhoun,En proceso,Decorar,24
34,Comprar materiales,Kristen Hamilton,Pendiente,Decorar,83
35,Enviar invitaciones,Todd Davis,Pendiente,Enviar invitaciones,74
36,Enviar invitaciones,Amanda Mueller,Pendiente,Comprar materiales,60
37,Reservar local,Marisa Mills,Pendiente,Decorar,64
38,Comprar materiales,Jessica Cook,Pendiente,Decorar,38
39,Ejecutar evento,Ryan Simmons,Pendiente,Ejecutar evento,39
40,Decorar,Daniel Rivers,Finalizado,Reservar local,49
41,Reservar local,Edward Harding,Finalizado,Enviar invitaciones,82
42,Reservar local,David Sanchez,Pendiente,Ejecutar evento,87
43,Reservar local,Jennifer Manning,Finalizado,Comprar materiales,69
44,Reservar local,Kathryn Myers,Pendiente,Comprar materiales,89
45,Reservar local,Sheri Yoder,En proceso,Enviar invitaciones,80
46,Ejecutar evento,Samantha Peterson DVM,En proceso,Enviar invitaciones,37
47,Decorar,Jimmy Sandoval,Finalizado,Enviar invitaciones,82
48,Enviar invitaciones,Kevin Hill,Finalizado,Comprar materiales,23
49,Reservar local,Heather Cline,Finalizado,Reservar local,42
50,Comprar materiales,Jamie James,Finalizado,Enviar invitaciones,34
51,Reservar local,Abigail Marquez,Pendiente,Ejecutar evento,70
52,Reservar local,Joseph Wiggins,Pendiente,Comprar materiales,62
53,Decorar,Elizabeth Mendoza,En proceso,Ejecutar evento,29
54,Ejecutar evento,Mr. Nicholas Shields,Pendiente,Ejecutar evento,65
55,Ejecutar evento,Rick Murray,Pendiente,Enviar invitaciones,48
56,Ejecutar evento,Dave Williams,Pendiente,Reservar local,33
